Year,Q1,Q2,Q3,Q4
2023,6858115,7123165,7049594,7090221
2022,6302446.53,6523591,6499562,6468804
2021,5448542.27,5757109.45,5126789.26,5620166.01
2020,5130411.6,5140336.68,3873443.4,4721818.87
2019,4872998.34,4801283.99,4942455.14,4861652.38
2018,4339193.52,4584686,4569369.11,4656017.01
2017,3875006.7,4122770.68,4008915.96,4157246.35
2016,3476632.47,3695813.63,3639774.61,3754117.03
